Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Biznis,350,Ekstraktivna,10.775,0.1028,0.3,0.2632,0.1351,0.2368,0.7147
Biznis,350,Apstraktivna,17.24,0.0421,0.24,1.0,1.0,1.0,1.0
Biznis,350,ChatGPT,47.8889,0.0093,0.2222,0.2105,0.0556,0.1579,0.6903
Biznis,350,Gemini,53.875,0.014,0.0,0.2105,0.0556,0.1579,0.7112
Biznis,350,Claude,61.5714,0.0,0.0,0.0,0.0,0.0,0.6627
Biznis,351,Ekstraktivna,12.0465,0.0657,0.4186,0.3333,0.1143,0.2778,0.7203
Biznis,351,Apstraktivna,24.6667,0.0277,0.1905,1.0,1.0,1.0,1.0
Biznis,351,ChatGPT,43.1667,0.0242,0.6667,0.1053,0.0556,0.1053,0.692
Biznis,351,Gemini,64.75,0.0104,0.0,0.1714,0.0,0.1714,0.7346
Biznis,351,Claude,64.75,0.0208,0.75,0.0,0.0,0.0,0.6941
Biznis,352,Ekstraktivna,14.9103,0.0589,0.1795,0.16,0.0163,0.112,0.7008
Biznis,352,Apstraktivna,36.3438,0.0221,0.25,1.0,1.0,1.0,1.0
Biznis,352,ChatGPT,89.4615,0.0092,0.0,0.32,0.125,0.24,0.7767
Biznis,352,Gemini,105.7273,0.0074,0.0,0.2083,0.0,0.1667,0.6598
Biznis,352,Claude,105.7273,0.0037,0.1818,0.1224,0.0,0.0816,0.7004
Biznis,353,Ekstraktivna,8.7059,0.0872,0.1765,0.0938,0.0,0.0625,0.6515
Biznis,353,Apstraktivna,14.0952,0.0201,0.0,1.0,1.0,1.0,1.0
Biznis,353,ChatGPT,37.0,0.0067,0.0,0.0,0.0,0.0,0.6724
Biznis,353,Gemini,29.6,0.0067,0.0,0.0606,0.0,0.0606,0.6463
Biznis,353,Claude,29.6,0.0134,0.0,0.1667,0.0588,0.1667,0.6589
Biznis,354,Ekstraktivna,4.8333,0.1644,0.3333,0.3077,0.1176,0.2885,0.7104
Biznis,354,Apstraktivna,8.7,0.0548,0.3333,1.0,1.0,1.0,1.0
Biznis,354,ChatGPT,20.0769,0.0342,0.3077,0.32,0.125,0.32,0.734
Biznis,354,Gemini,26.1,0.0205,0.4,0.2128,0.0889,0.1702,0.7169
Biznis,354,Claude,26.1,0.0137,0.0,0.1277,0.0444,0.1277,0.6618
Biznis,355,Ekstraktivna,5.6341,0.1538,0.439,0.2338,0.08,0.2338,0.6924
Biznis,355,Apstraktivna,9.625,0.0598,0.25,1.0,1.0,1.0,1.0
Biznis,355,ChatGPT,25.6667,0.0342,0.0,0.2,0.0,0.15,0.6515
Biznis,355,Gemini,38.5,0.0085,0.0,0.0,0.0,0.0,0.6371
Biznis,355,Claude,33.0,0.0085,0.0,0.0513,0.0,0.0513,0.6628
Biznis,356,Ekstraktivna,7.4643,0.1256,0.3929,0.3011,0.1099,0.1935,0.6941
Biznis,356,Apstraktivna,16.0769,0.0386,0.1538,1.0,1.0,1.0,1.0
Biznis,356,ChatGPT,38.0,0.0193,0.5455,0.2791,0.1463,0.2791,0.6923
Biznis,356,Gemini,41.8,0.0097,0.0,0.3333,0.1,0.2381,0.7506
Biznis,356,Claude,38.0,0.0193,0.1818,0.1463,0.0513,0.1463,0.7095
Biznis,357,Ekstraktivna,7.359,0.0929,0.4103,0.1538,0.0,0.1231,0.701
Biznis,357,Apstraktivna,15.9444,0.0219,0.1111,1.0,1.0,1.0,1.0
Biznis,357,ChatGPT,28.7,0.0164,0.2,0.1818,0.0,0.1212,0.7005
Biznis,357,Gemini,28.7,0.0219,0.2,0.1212,0.0,0.1212,0.6878
Biznis,357,Claude,28.7,0.0219,0.2,0.0625,0.0,0.0625,0.6808
Biznis,358,Ekstraktivna,0.3696,0.3636,0.087,0.3434,0.1649,0.2828,0.7331
Biznis,358,Apstraktivna,0.4359,0.5455,0.2051,1.0,1.0,1.0,1.0
Biznis,358,ChatGPT,1.4167,0.2727,0.1667,0.4483,0.1429,0.3793,0.7196
Biznis,358,Gemini,1.4167,0.1818,0.1667,0.2807,0.1455,0.2105,0.6617
Biznis,358,Claude,1.4167,0.2727,0.1667,0.25,0.037,0.1786,0.7248
Biznis,359,Ekstraktivna,0.2273,0.375,0.0909,0.475,0.3077,0.425,0.7677
Biznis,359,Apstraktivna,0.3333,0.5,0.1333,1.0,1.0,1.0,1.0
Biznis,359,ChatGPT,0.7143,0.0,0.0,0.4082,0.2128,0.4082,0.7346
Biznis,359,Gemini,0.8333,0.0,0.0,0.1702,0.0,0.0851,0.6937
Biznis,359,Claude,1.0,0.0,0.0,0.0889,0.0465,0.0889,0.6857
Biznis,360,Ekstraktivna,0.3469,0.25,0.0408,0.2727,0.0233,0.1818,0.7004
Biznis,360,Apstraktivna,0.6071,0.0833,0.0,1.0,1.0,1.0,1.0
Biznis,360,ChatGPT,1.8889,0.0833,0.0,0.4,0.186,0.2667,0.7358
Biznis,360,Gemini,1.7,0.0,0.0,0.087,0.0,0.087,0.713
Biznis,360,Claude,1.8889,0.0,0.0,0.1739,0.0909,0.1739,0.7437
Biznis,361,Ekstraktivna,0.2368,0.75,0.1579,0.5588,0.303,0.4412,0.7382
Biznis,361,Apstraktivna,0.4091,0.625,0.1818,1.0,1.0,1.0,1.0
Biznis,361,ChatGPT,0.75,0.375,0.1667,0.5128,0.2162,0.5128,0.7542
Biznis,361,Gemini,0.9,0.125,0.0,0.2222,0.0588,0.2222,0.6828
Biznis,361,Claude,0.75,0.5,0.1667,0.5,0.2632,0.4,0.7151
Biznis,362,Ekstraktivna,0.125,0.3333,0.0208,0.1361,0.0,0.0952,0.6813
Biznis,362,Apstraktivna,0.4138,0.0,0.0,1.0,1.0,1.0,1.0
Biznis,362,ChatGPT,0.9231,0.0,0.0,0.2609,0.0455,0.2174,0.7628
Biznis,362,Gemini,1.0909,0.0,0.0,0.0909,0.0,0.0909,0.6928
Biznis,362,Claude,0.9231,0.0,0.0,0.1633,0.0,0.1633,0.7106
Biznis,363,Ekstraktivna,0.2319,0.0,0.0,0.1416,0.018,0.1416,0.6659
Biznis,363,Apstraktivna,0.6154,0.2222,0.0,1.0,1.0,1.0,1.0
Biznis,363,ChatGPT,1.4545,0.1111,0.0,0.2273,0.0952,0.1818,0.7082
