Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Društvo,210,Ekstraktivna,9.1556,0.1095,0.2222,0.3488,0.0238,0.2093,0.6918
Društvo,210,Apstraktivna,12.875,0.0597,0.25,1.0,1.0,1.0,1.0
Društvo,210,ChatGPT,14.2069,0.0597,0.2069,0.3478,0.0299,0.2319,0.7088
Društvo,210,Gemini,17.1667,0.0498,0.25,0.2813,0.0645,0.2188,0.6791
Društvo,210,Claude,17.913,0.0199,0.1739,0.1587,0.0,0.127,0.6661
Društvo,211,Ekstraktivna,10.8478,0.0836,0.3478,0.2326,0.0238,0.1628,0.6756
Društvo,211,Apstraktivna,17.2069,0.0364,0.2069,1.0,1.0,1.0,1.0
Društvo,211,ChatGPT,21.6957,0.04,0.4348,0.2295,0.1017,0.0984,0.6936
Društvo,211,Gemini,16.6333,0.0436,0.2667,0.1176,0.0,0.0882,0.6373
Društvo,211,Claude,19.1923,0.0218,0.1538,0.2222,0.0328,0.1905,0.6869
Društvo,212,Ekstraktivna,26.6047,0.0302,0.2791,0.3111,0.0227,0.1556,0.7163
Društvo,212,Apstraktivna,30.9189,0.0208,0.2162,1.0,1.0,1.0,1.0
Društvo,212,ChatGPT,38.1333,0.0208,0.2,0.3243,0.0833,0.2162,0.7351
Društvo,212,Gemini,31.7778,0.0245,0.0556,0.175,0.0,0.1,0.6402
Društvo,212,Claude,31.7778,0.0113,0.1111,0.175,0.0,0.125,0.6876
Društvo,213,Ekstraktivna,8.9355,0.0803,0.1935,0.2121,0.0,0.1515,0.6974
Društvo,213,Apstraktivna,10.6538,0.0146,0.0769,1.0,1.0,1.0,1.0
Društvo,213,ChatGPT,14.5789,0.0292,0.1053,0.3529,0.0,0.2353,0.7452
Društvo,213,Gemini,14.5789,0.0365,0.1053,0.1176,0.0,0.0784,0.6315
Društvo,213,Claude,15.3889,0.0219,0.0,0.2,0.0417,0.2,0.6902
Društvo,214,Ekstraktivna,4.8039,0.1679,0.3137,0.3232,0.1443,0.2626,0.7119
Društvo,214,Apstraktivna,7.0,0.0365,0.1143,1.0,1.0,1.0,1.0
Društvo,214,ChatGPT,11.6667,0.073,0.2857,0.3438,0.1935,0.3438,0.7192
Društvo,214,Gemini,7.0,0.073,0.0571,0.2716,0.1013,0.2716,0.6843
Društvo,214,Claude,11.1364,0.0146,0.0,0.2769,0.0,0.1846,0.7108
Društvo,215,Ekstraktivna,6.0571,0.1068,0.1714,0.1918,0.0282,0.137,0.7121
Društvo,215,Apstraktivna,7.3103,0.0485,0.1379,1.0,1.0,1.0,1.0
Društvo,215,ChatGPT,12.4706,0.0388,0.0,0.2353,0.0,0.1569,0.7061
Društvo,215,Gemini,10.6,0.0291,0.0,0.1132,0.0,0.1132,0.6552
Društvo,215,Claude,10.6,0.0485,0.0,0.2222,0.0,0.1852,0.7265
Društvo,216,Ekstraktivna,8.4894,0.1031,0.3404,0.1538,0.0,0.1099,0.6749
Društvo,216,Apstraktivna,10.7838,0.0361,0.1081,1.0,1.0,1.0,1.0
Društvo,216,ChatGPT,18.1364,0.0412,0.2727,0.254,0.0328,0.1587,0.6688
Društvo,216,Gemini,14.7778,0.0464,0.2222,0.2941,0.0909,0.2059,0.7073
Društvo,216,Claude,19.0,0.0206,0.0,0.0923,0.0,0.0923,0.7082
Društvo,217,Ekstraktivna,7.9706,0.0636,0.2941,0.0857,0.0,0.0857,0.6922
Društvo,217,Apstraktivna,10.037,0.0347,0.0741,1.0,1.0,1.0,1.0
Društvo,217,ChatGPT,12.9048,0.0347,0.0952,0.2143,0.037,0.1786,0.7383
Društvo,217,Gemini,10.4231,0.0578,0.3077,0.2188,0.129,0.2188,0.6924
Društvo,217,Claude,15.0556,0.0173,0.1111,0.1509,0.0392,0.1132,0.7044
Društvo,218,Ekstraktivna,11.0,0.0949,0.6957,0.1754,0.0,0.1404,0.6622
Društvo,218,Apstraktivna,10.12,0.0584,0.24,1.0,1.0,1.0,1.0
Društvo,218,ChatGPT,12.0476,0.0803,0.381,0.1754,0.0364,0.1754,0.673
Društvo,218,Gemini,11.0,0.0657,0.2609,0.2333,0.1034,0.1667,0.6668
Društvo,218,Claude,14.0556,0.0073,0.1111,0.1176,0.0,0.1176,0.6814
Društvo,219,Ekstraktivna,5.1429,0.0857,0.3571,0.2667,0.1379,0.1667,0.702
Društvo,219,Apstraktivna,6.2609,0.0571,0.1739,1.0,1.0,1.0,1.0
Društvo,219,ChatGPT,6.5455,0.1,0.2727,0.2692,0.04,0.1923,0.6911
Društvo,219,Gemini,7.2,0.0429,0.2,0.1538,0.04,0.0769,0.6537
Društvo,219,Claude,9.6,0.0286,0.0,0.2083,0.0435,0.1667,0.7278
Društvo,220,Ekstraktivna,8.5938,0.0658,0.25,0.1034,0.0,0.1034,0.683
