Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Kultura,490,Ekstraktivna,9.5778,0.0701,0.2222,0.3125,0.0426,0.2083,0.7322
Kultura,490,Apstraktivna,10.775,0.0794,0.15,1.0,1.0,1.0,1.0
Kultura,490,ChatGPT,10.5122,0.0607,0.2439,0.4565,0.1556,0.2826,0.7847
Kultura,490,Gemini,10.5122,0.0561,0.1951,0.3368,0.129,0.3158,0.7742
Kultura,490,Claude,11.6486,0.014,0.0,0.1778,0.0455,0.1333,0.7046
Kultura,491,Ekstraktivna,10.5714,0.0692,0.3673,0.2286,0.0388,0.1143,0.6756
Kultura,491,Apstraktivna,12.3333,0.0519,0.2857,1.0,1.0,1.0,1.0
Kultura,491,ChatGPT,12.6341,0.0554,0.1951,0.2737,0.0215,0.1474,0.6897
Kultura,491,Gemini,13.2821,0.0554,0.3077,0.2637,0.0674,0.1758,0.7002
Kultura,491,Claude,13.6316,0.0242,0.1579,0.2247,0.0,0.1573,0.6869
Kultura,492,Ekstraktivna,19.3833,0.0368,0.2333,0.2804,0.0762,0.1495,0.7346
Kultura,492,Apstraktivna,29.8205,0.0221,0.3077,1.0,1.0,1.0,1.0
Kultura,492,ChatGPT,30.6053,0.0221,0.2632,0.3678,0.1412,0.3218,0.7682
Kultura,492,Gemini,29.8205,0.0184,0.1538,0.25,0.0,0.1591,0.7406
Kultura,492,Claude,31.4324,0.0092,0.0541,0.2118,0.0,0.1647,0.712
Kultura,493,Ekstraktivna,7.5897,0.0872,0.2051,0.3516,0.1124,0.2418,0.7531
Kultura,493,Apstraktivna,8.0,0.0738,0.2162,1.0,1.0,1.0,1.0
Kultura,493,ChatGPT,8.4571,0.0403,0.1143,0.2683,0.0,0.1463,0.7302
Kultura,493,Gemini,8.9697,0.0268,0.1212,0.2651,0.1235,0.2651,0.7594
Kultura,493,Claude,8.2222,0.0336,0.0556,0.2326,0.0714,0.1628,0.6809
Kultura,494,Ekstraktivna,5.8333,0.1387,0.5714,0.2526,0.0645,0.1684,0.7004
Kultura,494,Apstraktivna,5.8333,0.0876,0.1905,1.0,1.0,1.0,1.0
Kultura,494,ChatGPT,6.125,0.0584,0.2,0.3191,0.1087,0.1702,0.7614
Kultura,494,Gemini,6.8056,0.0584,0.2222,0.3721,0.1429,0.2791,0.7515
Kultura,494,Claude,7.0,0.0511,0.1714,0.382,0.092,0.1798,0.7402
Kultura,495,Ekstraktivna,5.1707,0.1165,0.2927,0.2169,0.0247,0.1687,0.7181
Kultura,495,Apstraktivna,6.4242,0.0485,0.1818,1.0,1.0,1.0,1.0
Kultura,495,ChatGPT,6.4242,0.1165,0.1818,0.2368,0.027,0.1579,0.7116
Kultura,495,Gemini,7.8519,0.0388,0.1481,0.2687,0.0615,0.1791,0.7381
Kultura,495,Claude,6.8387,0.0485,0.0645,0.2192,0.0,0.1096,0.6981
Kultura,496,Ekstraktivna,9.975,0.0876,0.35,0.2766,0.0217,0.1277,0.7133
Kultura,496,Apstraktivna,9.5,0.0619,0.0476,1.0,1.0,1.0,1.0
Kultura,496,ChatGPT,11.0833,0.0412,0.0556,0.2759,0.0471,0.2069,0.7124
Kultura,496,Gemini,12.4688,0.0361,0.125,0.2921,0.069,0.1798,0.7328
Kultura,496,Claude,11.7353,0.0258,0.1176,0.2326,0.0238,0.186,0.6814
Kultura,497,Ekstraktivna,8.4688,0.0636,0.25,0.2933,0.0822,0.2133,0.7296
Kultura,497,Apstraktivna,8.4688,0.0347,0.125,1.0,1.0,1.0,1.0
Kultura,497,ChatGPT,8.4688,0.052,0.1875,0.2432,0.0,0.1892,0.7249
Kultura,497,Gemini,9.0333,0.0289,0.1333,0.411,0.1127,0.274,0.756
Kultura,497,Claude,10.4231,0.0289,0.0769,0.3143,0.0882,0.2286,0.7543
Kultura,498,Ekstraktivna,6.8378,0.1095,0.3243,0.2093,0.0476,0.1628,0.717
Kultura,498,Apstraktivna,7.4412,0.0803,0.2353,1.0,1.0,1.0,1.0
Kultura,498,ChatGPT,7.6667,0.1022,0.5455,0.2564,0.0,0.2051,0.719
Kultura,498,Gemini,8.1613,0.0803,0.3226,0.3377,0.0533,0.1818,0.7415
Kultura,498,Claude,9.0357,0.0219,0.1429,0.2778,0.0286,0.1944,0.7112
Kultura,499,Ekstraktivna,3.7895,0.2,0.4737,0.1739,0.0299,0.1159,0.6791
Kultura,499,Apstraktivna,5.76,0.0571,0.0,1.0,1.0,1.0,1.0
Kultura,499,ChatGPT,5.3333,0.0714,0.4444,0.1333,0.0345,0.1333,0.6587
Kultura,499,Gemini,5.76,0.0286,0.08,0.2807,0.1455,0.2456,0.7391
Kultura,499,Claude,7.5789,0.0286,0.0,0.3333,0.0769,0.3333,0.7421
Kultura,500,Ekstraktivna,7.4324,0.0789,0.3243,0.2857,0.0244,0.1667,0.7106
Kultura,500,Apstraktivna,7.2368,0.0197,0.2632,1.0,1.0,1.0,1.0
Kultura,500,ChatGPT,10.5769,0.0395,0.0769,0.137,0.0,0.1096,0.6876
Kultura,500,Gemini,11.0,0.0329,0.0,0.087,0.0,0.087,0.7016
Kultura,500,Claude,13.0952,0.0,0.0,0.1515,0.0312,0.1515,0.6868
Kultura,501,Ekstraktivna,8.4211,0.1064,0.4211,0.1975,0.0253,0.1235,0.6552
Kultura,501,Apstraktivna,10.3226,0.0266,0.129,1.0,1.0,1.0,1.0
Kultura,501,ChatGPT,10.0,0.0532,0.375,0.2597,0.0533,0.2078,0.704
Kultura,501,Gemini,16.0,0.0106,0.0,0.25,0.0323,0.1875,0.7031
Kultura,501,Claude,13.3333,0.0053,0.0,0.3143,0.1471,0.2857,0.7402
Kultura,502,Ekstraktivna,6.119,0.0968,0.381,0.25,0.0,0.2045,0.711
Kultura,502,Apstraktivna,8.5667,0.0387,0.0,1.0,1.0,1.0,1.0
Kultura,502,ChatGPT,8.5667,0.0581,0.1333,0.2192,0.0,0.1918,0.7096
Kultura,502,Gemini,8.8621,0.0645,0.1379,0.2432,0.0,0.2162,0.7325
Kultura,502,Claude,13.5263,0.0194,0.0,0.1613,0.0333,0.129,0.7235
Kultura,503,Ekstraktivna,25.5278,0.0376,0.4444,0.1772,0.0,0.1266,0.6817
Kultura,503,Apstraktivna,30.6333,0.0108,0.0667,1.0,1.0,1.0,1.0
Kultura,503,ChatGPT,34.037,0.0242,0.3704,0.1212,0.0,0.0909,0.71
Kultura,503,Gemini,41.7727,0.0027,0.0,0.2812,0.0323,0.1875,0.7561
Kultura,503,Claude,38.2917,0.0054,0.0,0.0923,0.0317,0.0923,0.701
Kultura,504,Ekstraktivna,7.3929,0.1024,0.3571,0.1667,0.0345,0.1333,0.6883
Kultura,504,Apstraktivna,9.4091,0.0236,0.0909,1.0,1.0,1.0,1.0
Kultura,504,ChatGPT,10.35,0.0236,0.1,0.1176,0.0,0.1176,0.7214
Kultura,504,Gemini,9.4091,0.0157,0.1818,0.1923,0.04,0.1154,0.6906
Kultura,504,Claude,11.5,0.0079,0.0,0.1224,0.0,0.0816,0.6806
Kultura,505,Ekstraktivna,9.6571,0.0673,0.2857,0.1316,0.0,0.0789,0.6655
Kultura,505,Apstraktivna,9.3889,0.0288,0.1667,1.0,1.0,1.0,1.0
Kultura,505,ChatGPT,12.5185,0.024,0.0741,0.1471,0.0,0.0882,0.6754
Kultura,505,Gemini,16.0952,0.024,0.0952,0.129,0.0,0.0645,0.6804
Kultura,505,Claude,14.6957,0.0048,0.0,0.2154,0.0,0.1231,0.6919
Kultura,506,Ekstraktivna,5.3333,0.103,0.2745,0.2424,0.0206,0.1616,0.6887
Kultura,506,Apstraktivna,6.8,0.0303,0.05,1.0,1.0,1.0,1.0
Kultura,506,ChatGPT,8.7742,0.0303,0.129,0.3544,0.1039,0.2532,0.7585
Kultura,506,Gemini,8.0,0.0424,0.1765,0.4878,0.15,0.3171,0.7635
Kultura,506,Claude,10.0741,0.0,0.0741,0.2051,0.0526,0.1795,0.6773
Kultura,507,Ekstraktivna,11.1404,0.0667,0.2105,0.24,0.0612,0.16,0.6893
Kultura,507,Apstraktivna,18.6765,0.0167,0.1765,1.0,1.0,1.0,1.0
Kultura,507,ChatGPT,24.4231,0.0278,0.3077,0.2154,0.0952,0.1846,0.7499
Kultura,507,Gemini,28.8636,0.0167,0.1818,0.2903,0.1,0.2258,0.7234
Kultura,507,Claude,25.4,0.0139,0.08,0.1194,0.0,0.0896,0.6575
Kultura,508,Ekstraktivna,4.3519,0.2276,0.4074,0.2632,0.0893,0.2105,0.6996
Kultura,508,Apstraktivna,7.1212,0.0813,0.3636,1.0,1.0,1.0,1.0
Kultura,508,ChatGPT,9.0385,0.065,0.3077,0.3014,0.1127,0.2466,0.7521
Kultura,508,Gemini,9.7917,0.0407,0.1667,0.1739,0.0299,0.1449,0.6948
Kultura,508,Claude,9.4,0.0163,0.08,0.1389,0.0,0.0833,0.6679
Kultura,509,Ekstraktivna,6.0581,0.0918,0.1163,0.194,0.0303,0.1045,0.6754
Kultura,509,Apstraktivna,15.3235,0.034,0.1765,1.0,1.0,1.0,1.0
Kultura,509,ChatGPT,16.2812,0.0238,0.0625,0.1299,0.0,0.1039,0.6777
Kultura,509,Gemini,17.3667,0.0102,0.0,0.1842,0.0,0.1053,0.713
Kultura,509,Claude,16.8065,0.0238,0.129,0.2308,0.0526,0.1538,0.7336
Kultura,506,Ekstraktivna,5.3333,0.103,0.2745,0.2424,0.0206,0.1616,0.6887
Kultura,506,Apstraktivna,6.8,0.0303,0.05,1.0,1.0,1.0,1.0
Kultura,506,ChatGPT,8.7742,0.0303,0.129,0.3544,0.1039,0.2532,0.7585
Kultura,506,Gemini,5.2308,0.0727,0.1923,0.4314,0.08,0.2745,0.7453
Kultura,506,Claude,6.9744,0.0182,0.0,0.2529,0.0706,0.1839,0.7489
Kultura,507,Ekstraktivna,11.1404,0.0667,0.2105,0.24,0.0612,0.16,0.6893
Kultura,507,Apstraktivna,18.6765,0.0167,0.1765,1.0,1.0,1.0,1.0
Kultura,507,ChatGPT,24.4231,0.0278,0.3077,0.2154,0.0952,0.1846,0.7499
Kultura,507,Gemini,16.7105,0.025,0.1053,0.3038,0.0519,0.2025,0.7096
Kultura,507,Claude,18.1429,0.0167,0.1714,0.3117,0.1067,0.1818,0.7541
Kultura,508,Ekstraktivna,4.3519,0.2276,0.4074,0.2632,0.0893,0.2105,0.6996
Kultura,508,Apstraktivna,7.1212,0.0813,0.3636,1.0,1.0,1.0,1.0
Kultura,508,ChatGPT,9.0385,0.065,0.3077,0.3014,0.1127,0.2466,0.7521
Kultura,508,Gemini,5.1087,0.1707,0.3913,0.3125,0.1277,0.1875,0.6981
Kultura,508,Claude,6.9118,0.0244,0.0,0.1928,0.0247,0.1446,0.679
Kultura,509,Ekstraktivna,6.0581,0.0918,0.1163,0.194,0.0303,0.1045,0.6754
Kultura,509,Apstraktivna,15.3235,0.034,0.1765,1.0,1.0,1.0,1.0
Kultura,509,ChatGPT,16.2812,0.0238,0.0625,0.1299,0.0,0.1039,0.6777
Kultura,509,Gemini,7.4429,0.051,0.0571,0.2712,0.0345,0.1864,0.6996
Kultura,509,Claude,13.7105,0.0102,0.0526,0.1667,0.0,0.119,0.7045
Kultura,510,Ekstraktivna,10.0938,0.0739,0.3125,0.1695,0.0,0.1356,0.7186
Kultura,510,Apstraktivna,13.4583,0.0568,0.1667,1.0,1.0,1.0,1.0
Kultura,510,ChatGPT,14.6818,0.0398,0.1818,0.2041,0.0,0.1224,0.7005
Kultura,510,Gemini,17.0,0.0227,0.1053,0.2727,0.0476,0.1818,0.7169
Kultura,510,Claude,16.15,0.0284,0.1,0.0851,0.0,0.0851,0.6848
Kultura,511,Ekstraktivna,8.6364,0.0759,0.303,0.2985,0.0923,0.2687,0.7167
Kultura,511,Apstraktivna,10.1786,0.0506,0.2143,1.0,1.0,1.0,1.0
Kultura,511,ChatGPT,12.9545,0.0253,0.0,0.4231,0.2,0.2692,0.7188
Kultura,511,Gemini,20.3571,0.0063,0.1429,0.2273,0.0476,0.2273,0.7034
Kultura,511,Claude,10.9615,0.019,0.0769,0.25,0.0741,0.1786,0.6804
Kultura,512,Ekstraktivna,6.7778,0.0722,0.3111,0.3684,0.1622,0.3158,0.761
Kultura,512,Apstraktivna,12.2,0.05,0.24,1.0,1.0,1.0,1.0
Kultura,512,ChatGPT,16.9444,0.0222,0.0,0.1277,0.0,0.1277,0.7189
Kultura,512,Gemini,16.0526,0.0222,0.2105,0.0769,0.0,0.0769,0.6763
Kultura,512,Claude,13.8636,0.0,0.0,0.037,0.0,0.037,0.6622
Kultura,513,Ekstraktivna,4.525,0.2245,0.5,0.3836,0.1972,0.3288,0.7393
Kultura,513,Apstraktivna,8.2273,0.0612,0.3636,1.0,1.0,1.0,1.0
