Kategorija,ID,Model,Compression,Coverage,Density,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
Politika,70,Ekstraktivna,7.6964,0.1729,0.9643,0.2476,0.0777,0.1333,0.6934
Politika,70,Apstraktivna,12.3143,0.0327,0.1714,1.0,1.0,1.0,1.0
Politika,70,ChatGPT,9.3696,0.0514,0.2174,0.383,0.1304,0.2553,0.7506
Politika,70,Gemini,7.9815,0.0421,0.1852,0.28,0.0408,0.16,0.7413
Politika,70,Claude,13.0606,0.0187,0.0606,0.1842,0.027,0.1053,0.7297
Politika,71,Ekstraktivna,6.7273,0.1765,0.8571,0.2556,0.0305,0.1504,0.7008
Politika,71,Apstraktivna,11.5111,0.0484,0.1333,1.0,1.0,1.0,1.0
Politika,71,ChatGPT,11.0213,0.0554,0.1702,0.2524,0.0396,0.1748,0.7089
Politika,71,Gemini,11.0213,0.0554,0.2979,0.243,0.0381,0.1682,0.6966
Politika,71,Claude,14.0,0.0242,0.1081,0.4086,0.1538,0.1935,0.7342
Politika,72,Ekstraktivna,1.6892,0.6027,0.973,0.2063,0.0323,0.127,0.6698
Politika,72,Apstraktivna,3.3784,0.0822,0.0541,1.0,1.0,1.0,1.0
Politika,72,ChatGPT,2.907,0.1233,0.1395,0.4375,0.1702,0.3542,0.7847
Politika,72,Gemini,3.5714,0.0548,0.1143,0.3171,0.1,0.2195,0.7342
Politika,72,Claude,3.2051,0.0411,0.0,0.3448,0.1176,0.2529,0.7833
Politika,73,Ekstraktivna,3.3258,0.302,0.8764,0.2302,0.0292,0.1583,0.6816
Politika,73,Apstraktivna,8.2222,0.0403,0.1111,1.0,1.0,1.0,1.0
Politika,73,ChatGPT,7.7895,0.0738,0.2105,0.3133,0.1235,0.2651,0.7553
Politika,73,Gemini,8.9697,0.047,0.0606,0.2651,0.0988,0.1446,0.7123
Politika,73,Claude,8.9697,0.0201,0.0606,0.1538,0.0263,0.1026,0.7055
Politika,74,Ekstraktivna,4.2097,0.1781,0.3548,0.3284,0.1364,0.2836,0.7245
Politika,74,Apstraktivna,5.22,0.1096,0.4,1.0,1.0,1.0,1.0
Politika,74,ChatGPT,5.4375,0.089,0.2083,0.5225,0.1835,0.4324,0.7893
Politika,74,Gemini,6.3659,0.0753,0.1951,0.4231,0.1961,0.3269,0.7455
Politika,74,Claude,8.7,0.0548,0.2,0.3596,0.1149,0.2921,0.7621
Politika,75,Ekstraktivna,4.7143,0.1282,0.4082,0.26,0.0612,0.2,0.6743
Politika,75,Apstraktivna,5.9231,0.0513,0.1538,1.0,1.0,1.0,1.0
Politika,75,ChatGPT,6.2432,0.0855,0.2162,0.3371,0.1149,0.2697,0.765
Politika,75,Gemini,6.6,0.0427,0.0,0.2588,0.0964,0.2118,0.7349
Politika,75,Claude,7.9655,0.0427,0.0,0.2439,0.0,0.1463,0.7008
Politika,76,Ekstraktivna,7.3333,0.1401,0.3509,0.2982,0.0893,0.2105,0.7262
Politika,76,Apstraktivna,9.5,0.0676,0.1364,1.0,1.0,1.0,1.0
Politika,76,ChatGPT,9.5,0.0676,0.2273,0.2857,0.1042,0.2041,0.7373
Politika,76,Gemini,11.9429,0.0725,0.1714,0.2824,0.0723,0.2118,0.733
Politika,76,Claude,13.0625,0.0193,0.0,0.2963,0.0759,0.2222,0.7245
Politika,77,Ekstraktivna,5.74,0.1803,0.64,0.2917,0.0851,0.2083,0.6826
Politika,77,Apstraktivna,8.2,0.0383,0.1714,1.0,1.0,1.0,1.0
Politika,77,ChatGPT,8.2,0.0383,0.1143,0.3544,0.1558,0.2532,0.7631
Politika,77,Gemini,8.2,0.0383,0.1143,0.4096,0.1235,0.241,0.7307
Politika,77,Claude,9.8966,0.0109,0.069,0.3158,0.0811,0.1842,0.7257
Politika,78,Ekstraktivna,6.9744,0.16,0.5641,0.3059,0.1205,0.2588,0.6794
Politika,78,Apstraktivna,9.0667,0.04,0.1333,1.0,1.0,1.0,1.0
Politika,78,ChatGPT,9.0667,0.0533,0.4,0.3846,0.1316,0.3077,0.7323
Politika,78,Gemini,7.7714,0.06,0.1714,0.4578,0.2469,0.4096,0.7463
Politika,78,Claude,8.7742,0.0133,0.0645,0.2785,0.0779,0.2025,0.7434
Politika,79,Ekstraktivna,4.9394,0.1548,0.4848,0.3733,0.1644,0.24,0.7273
Politika,79,Apstraktivna,4.6571,0.0952,0.2857,1.0,1.0,1.0,1.0
Politika,79,ChatGPT,5.2581,0.1071,0.3871,0.3889,0.1143,0.2222,0.7631
Politika,79,Gemini,6.037,0.0595,0.2222,0.3636,0.125,0.1818,0.7682
Politika,79,Claude,7.4091,0.0357,0.0,0.2222,0.0328,0.127,0.6702
Politika,80,Ekstraktivna,7.7368,0.103,0.3158,0.1918,0.0563,0.137,0.692
Politika,80,Apstraktivna,9.8,0.0485,0.1333,1.0,1.0,1.0,1.0
Politika,80,ChatGPT,8.9091,0.0303,0.1818,0.1667,0.0,0.1111,0.7307
Politika,80,Gemini,11.3077,0.0545,0.0769,0.2951,0.1356,0.2623,0.7334
Politika,80,Claude,10.8889,0.0182,0.0,0.0968,0.0,0.0645,0.6822
Politika,81,Ekstraktivna,8.4211,0.117,0.6316,0.3333,0.0976,0.2857,0.6825
